#separator:Tab
#html:true
#columns:题干	答案	解析	标签
协方差与相关系数的区别：cov(U, U) = ____；ρ(U, U) = ____。	DU（方差） / 1	把「变量与自己的相关系数为 1」迁移成 cov(U,U)=1 是典型错误：X~N(0,σ²) 时 Cov(X,X³) = 3σ⁴，若按 σ⁴+1 算，相关系数会 >1，而 |ρ| ≤ 1 恒成立，可直接自检。	考研数学一::概率论与数理统计
重要极限：lim(x→0) (sin x)/x = ____	1	夹逼准则可证。推广：□→0 时 sin□/□ → 1，□ 可以是任意趋于 0 的表达式。	考研数学一::高等数学
罗尔定理的三个条件是：闭区间连续、开区间可导、____。	端点函数值相等	罗尔定理要求f(a)=f(b)，即两端点函数值相等，这是保证存在导数为零的点的关键条件。	考研数学一::高等数学
函数f(x)在x₀处的导数定义为：当Δx→0时，____的极限。若该极限存在，则称f(x)在x₀处可导。	[f(x₀+Δx)-f(x₀)]/Δx	导数的定义是增量比的极限。几何意义是曲线在该点的切线斜率。	考研数学一::高等数学
基本求导：(ln x)′ = ____	1/x	(log_(a) x)′ = 1/(x ln a)，取 a=e 即得。注意定义域 x>0。	考研数学一::高等数学
简述导数与微分的定义，并说明二者的关系。	导数：增量比的极限 f′(x₀) = lim[Δx→0] [f(x₀+Δx) − f(x₀)]/Δx，刻画瞬时变化率。<br>微分：Δy = A·Δx + o(Δx) 中关于 Δx 的线性主部 dy = f′(x₀)Δx。<br>关系：一元函数中可导 ⇔ 可微，且 A = f′(x₀)；导数是微分的系数。	一元可导⇔可微是数一常考结论；多元函数中偏导存在≠可微，注意区分。	考研数学一::高等数学
用麦克劳林展开求高阶导数：f⁽ⁿ⁾(0) = ____ × 展开式中 xⁿ 的系数。	n!	ln(1+x) = x − x²/2 + x³/3 − …，x³ 项系数是 1/3，故 f⁽³⁾(0) = 3! × 1/3 = 2。	考研数学一::高等数学
已知 g(x) 在 x=0 处二阶可导，g(0)=g′(0)=0。求 lim(x→0) g(x)/x² 时，为什么不能连续两次使用洛必达法则？正确做法是什么？	洛必达法则要求分子、分母在 x=0 的去心邻域内可导到所需阶数；题目只给了「在 x=0 处二阶可导」，推不出去心邻域内 g″ 存在或连续，故第二次洛必达属于超条件使用。正确做法是用带佩亚诺余项的泰勒展开：g(x) = g(0) + g′(0)x + g″(0)x²/2 + o(x²) = g″(0)x²/2 + o(x²)，因此 g(x)/x² → g″(0)/2。口诀：一点可导用泰勒，邻域可导才洛必达。	反例：f(x)=x²sin(1/x) 在 0 处可导，但 x≠0 时 f′(x)=2x·sin(1/x)−cos(1/x)，lim(x→0) f′(x) 不存在——可见「一点可导」与「导数连续」是两回事。	考研数学一::高等数学
求拐点的可疑点必须列两类：f″ 的 ____ 和 f″ ____（拐点判据不要求 f″(x₀) 存在）。	零点 / 不存在的点	f(x)=|x|x 在 x=0 处 f″ 不存在，但 f″ 两侧变号，所以是拐点。与极值点同构记忆：极值可疑点 = 驻点 + 不可导点。	考研数学一::高等数学
基本积分：∫cos x dx = ____	sin x + C	别漏常数 C。对照：∫sin x dx = −cos x + C，负号是高频丢分点。	考研数学一::高等数学
反常积分 ∫(−∞ 到 +∞) f(x)dx 收敛要求两端 ____；奇函数对称积分为 0 只是 ____，不能当作反常积分的值。	各自独立收敛 / 柯西主值	∫(−∞,+∞) x³dx 的两侧单侧积分都发散，故反常积分发散；柯西主值强制两端同步趋向，是更弱的定义。	考研数学一::高等数学
极坐标下玫瑰线 r = a·sin nθ 的面积积分限：n 为奇数取 ____，n 为偶数取 ____（口诀「奇半偶全」）。	0 到 π / 0 到 2π	n 为奇数时 θ 从 π 到 2π 的轨迹与 0 到 π 完全重合，取整圈会把面积算成 2 倍。另注意带平方的是双纽线（r² = a²cos 2θ），不带平方才是玫瑰线。	考研数学一::高等数学
