#separator:Tab
#html:true
#columns:题干	答案	解析	标签
冯·诺依曼体系结构的核心思想是____，即程序和数据以二进制形式存储在存储器中，计算机按程序顺序自动执行。	存储程序	存储程序原理是现代计算机的基本工作原理，程序和数据不加区分地存放在同一存储器中，由控制器按地址顺序自动取出并执行。	考研408::计算机组成原理
算法的时间复杂度描述的是算法运行时间随输入规模增长的____，用大O记号表示。	变化趋势	时间复杂度关注的是增长率而非具体运行时间。O(n)的算法在小规模时可能比O(log n)但常数很大的算法更慢。	考研408::数据结构
栈是一种____的线性表，只能在表尾进行插入和删除操作。	后进先出(LIFO)	栈的核心特征是LIFO（Last In First Out），即最后入栈的元素最先出栈。	考研408::数据结构
队列是一种____的线性表，在队尾插入、队头删除。	先进先出(FIFO)	队列的核心特征是FIFO（First In First Out），即最先入队的元素最先出队。	考研408::数据结构
操作系统的四大基本特征是并发、共享、____和____，其中并发和共享是最基本的两个特征。	虚拟	虚拟是指通过某种技术将一个物理实体变为若干个逻辑上的对应物。异步是指进程以不可预知的速度向前推进。	考研408::操作系统
分析嵌套循环时间复杂度的关键步骤？循环变量互相依赖时如何处理？	关键：从最内层往外逐层算执行次数，各层相乘；内层次数随外层变化时必须写求和式。<br>①同行独立：for(i=1;i<=n;i++) for(j=1;j<=n;j++) → n·n = O(n²)<br>②外层相关：for(i=1;i<=n;i++) for(j=1;j<=i;j++) → Σ(i=1..n) i = n(n+1)/2 = O(n²)<br>③倍增步长：for(i=1;i<=n;i*=2) → 迭代 ⌊log₂n⌋+1 次 = O(log n)；若内层再跑 n 次 → O(n log n)<br>④带条件跳过：外层 n 次、内层 i 次且 i 为偶数才进 → Σ(i=1..n, i偶) i ≈ n²/4 = O(n²)<br>陷阱：内层次数依赖外层变量时不能当常数相乘，先写出 Σ 求和式再定阶。	判断嵌套循环先问一句「内层执行次数依赖外层变量吗」：不依赖就各层次数直接相乘（①）；依赖就从最内层往外写成求和式（②④），把 Σ 化出来再取最高阶（②的 n(n+1)/2 是 O(n²)，与①同阶但常数不同）。循环变量按倍增/折半变化时（③）次数是 log 级，叠一层 n 次内层就成了 O(n log n)——这是排序/二分类代码的典型形态。	考研408::数据结构
快速排序的最坏情况什么时候发生？为什么平均复杂度仍是 O(n log n)？	最坏：每次 pivot 恰好是最大/最小元素 → 分区极不平衡 → T(n)=T(n-1)+O(n) → O(n²)<br>触发场景：已排序数组 + 固定取首/末元素为 pivot<br>平均 O(n log n)：随机化选 pivot 后，期望分区比例趋近均衡。<br>改进：三数取中法、随机 pivot。		考研408::数据结构
单链表中头结点的作用是什么？带头结点和不带头结点在代码上有什么区别？	头结点作用：① 统一空表和非空表的处理 ② 统一首元结点和其他结点的操作<br>带头结点：插入/删除首元素无需特殊判断，L->next 即为第一个数据结点<br>不带头结点：操作首元素需修改头指针 L 本身，需额外 if 判断<br>考试技巧：408 题目默认带头结点，除非明确说明		考研408::数据结构
顺序表和链表在插入/删除/查找操作上的时间复杂度各是多少？何时选顺序表？	插入/删除：顺序表 O(n)(需移动元素)，链表 O(1)(已知位置时)<br>查找：顺序表 O(1)(随机访问)，链表 O(n)(需遍历)<br>选顺序表：① 需要随机访问 ② 插入删除少、查找多 ③ 内存紧张(无指针开销) ④ 需要缓存友好性		考研408::数据结构
静态链表是什么？它在什么场景下有用？与动态链表的关键区别？	静态链表：用数组模拟链表，数组元素的「指针」是下标(游标)而非地址<br>有用场景：不支持指针的语言(如早期 Fortran/BASIC)、需要预分配固定大小内存时<br>关键区别：动态链表用 malloc/free 管理内存，静态链表在数组内用空闲链表管理<br>408 偶考：理解游标含义和空闲链表的管理方式		考研408::数据结构
主定理 (Master Theorem) 的三种情况分别是什么？T(n)=aT(n/b)+f(n) 如何判断？	比较 f(n) 与 n^(log_b a)：<br>• 情况1：f(n)=O(n^(log_b a - ε)) → T(n)=Θ(n^(log_b a))<br>• 情况2：f(n)=Θ(n^(log_b a)) → T(n)=Θ(n^(log_b a)·log n)<br>• 情况3：f(n)=Ω(n^(log_b a + ε)) 且正则条件 → T(n)=Θ(f(n))<br>例：归并排序 a=2,b=2,f(n)=n → 情况2 → O(n log n)		考研408::数据结构
有序表(递增)的归并算法：两个有序链表归并为一个有序链表的关键步骤？	关键步骤(双指针法)：<br>1. 设 p、q 分别指向两链表首元结点<br>2. 比较 *p 和 *q，取较小者接入结果链表，对应指针后移<br>3. 某链表遍历完后，将另一链表剩余部分直接接入<br>时间 O(m+n)，空间 O(1)(直接修改指针，不新建结点)<br>注意：408 真题高频考点，注意尾指针处理		考研408::数据结构
O(1)、O(log n)、O(n)、O(n log n)、O(n²)、O(2ⁿ) 按增长率从小到大排列？常见算法各属于哪个级别？	排列：O(1) < O(log n) < O(n) < O(n log n) < O(n²) < O(2ⁿ)<br>• O(log n)：二分查找<br>• O(n log n)：归并排序、快速排序(平均)<br>• O(n²)：冒泡排序、插入排序<br>• O(2ⁿ)：穷举子集		考研408::操作系统
双向链表和循环链表各自的特点？循环双向链表如何解决遍历方向问题？	双向链表：每个结点有 prior 和 next 指针，可双向遍历，插入/删除需维护两条链<br>循环链表：尾结点指向头结点(或首元结点)，从任一结点出发可遍历全表<br>循环双向链表：结合两者优点，既有双向遍历能力又能从任意结点遍历全表<br>应用：约瑟夫问题(循环链表)、LRU缓存(双向链表)		考研408::数据结构
算法的五个基本特性是什么？时间复杂度和空间复杂度分别衡量什么？	五个特性：有穷性、确定性、可行性、输入、输出。<br>时间复杂度：算法运行时间随输入规模 n 的增长趋势（渐进行为），忽略常数因子。<br>空间复杂度：算法运行所需额外存储空间随 n 的增长趋势（不含输入数据本身）。		考研408::数据结构
