#separator:Tab
#html:true
#columns:题干	答案	解析	标签
在定语从句中，____只能引导限制性定语从句，不能引导非限制性定语从句（逗号后不能用）。	that	that不能引导非限制性定语从句是考研英语语法的高频考点。非限制性定语从句用which/who/whom/whose引导。	考研英语一::语法
虚拟语气与过去事实相反：从句用 ____，主句用 ____。	had done / would have done	与现在事实相反：从句 did/were、主句 would do；与过去事实相反：从句 had done、主句 would have done；与将来事实相反：从句 were to do/should do、主句 would do。	考研英语一::语法
主将从现：By the time 引导的时间状语从句用 ____ 表将来，主句表达「到那时已完成」用 ____。	一般现在时 / 将来完成时	By the time I see you, I will have graduated.；平移到过去则从句用一般过去、主句用过去完成：By the time I saw you, I had graduated.	考研英语一::语法
现在完成进行时的结构是 ____；短暂动词（come/go/arrive）用这个时态表示 ____，而不是持续。	have/has been doing / 反复多次	I have been coming to Beijing for 14 years. = 14 年间反复来京；表持续居住要用 I have been in Beijing for 14 years.	考研英语一::语法
had been 只有后接 ____ 时才构成被动语态；had been + 形容词/名词是 ____（主动）。	过去分词 / 系表结构	被动：The door had been locked.；系表（主动）：He had been ill. / He had been a teacher.；去过（主动）：She had been to Paris.；过去完成进行（主动）：They had been waiting.	考研英语一::语法
名词性从句只能用 whether 的四种情况：____、____、与 or not 直接连用、以及句首主语从句。	介词后 / 不定式前	It depends on whether he agrees.；I don't know whether to stay.；Whether he will come is uncertain.。if 只用于口语化的动词宾语从句。	考研英语一::语法
使役动词与感官动词（make/let/have/see/hear/watch）主动语态后接 ____，变成被动语态后必须 ____。	裸不定式 / 还原 to	He made me do it. → I was made to do it.；I saw him run. → He was seen to run.	考研英语一::语法
分析下面这句话：有几个分句？主干是什么？逐个数出每个谓语动词及其所属分句。<br>However, whether such a sense of fairness evolved independently in capuchins and humans, or whether it stems from the common ancestor that the species had 35 million years ago, is, as yet, an unanswered question.	共 4 个分句，4 个谓语动词：① evolved——第一个主语从句的谓语，主语是 such a sense of fairness；② stems (from)——第二个主语从句的谓语，主语是 it；③ had——定语从句的谓语，修饰 the common ancestor，主语是 the species，宾语是 35 million years；④ is——主句的系动词。主干是：whether… or whether… is an unanswered question（两个并列的主语从句整体作主语，故谓语用单数 is），as yet 是插入状语。	方法：数谓语定分句——有几个谓语就有几个分句；非谓语（to do / doing / done）不算谓语。	考研英语一::语法
用词根词缀法拆解单词 unmistakable，写出拆解过程、词义，并说明 -able 在这里的语法含义。	unmistakable = un- + mistak(e) + -able。un- 是否定前缀；mistake 意为「弄错」（mis- 错误 + take 拿）；-able/-ible 是形容词后缀，核心含义是「能被……的」，含**被动**义。所以字面是「不可能被弄错的」，引申为「明确无误的、不会弄错的」。同类：reliable = 能被依靠的 → 可靠的；visible = 能被看见的 → 可见的。	把 -able 当主动解会得出「能弄错的」，与词义正好相反——这是 -able 最高频的误读。	考研英语一::语法
举例说明 no more A than B 与 not more A than B 的区别，并各举一个句子。	区别在 no 表全盘否定、not 表程度比较。not more A than B = 不比 B 更 A，两者都 A，只是程度有别；no more A than B = 两者都不 A（= neither）。例：He is not more diligent than his brother.（他不比哥哥更勤奋，两人都勤奋）／ He is no more diligent than his brother.（他和他哥哥都不勤奋）。同理 not less A than B（不比 B 差，两者都好）／ no less A than B（两者都 A，≈ as much as）。	这类结构常在阅读里反向设问，先分清「两者都」还是「两者都不」，再看程度。	考研英语一::语法
三步拆词法的顺序：切后缀定 ____ → 切前缀定 ____ → 找词根定 ____。	词性 / 方向 / 意思	心法：词根定意思，前缀定方向，后缀定词性。示范：unmistakable → -able（形容词）→ un-（否定）→ mistak(e)（弄错）。	考研英语一::词汇
后缀 -able/-ible 的核心含义是「____」，含 ____ 义。	能被……的 / 被动	unmistakable = un + mistake + able → 不可能被弄错的 → 明确无误的；reliable = 能被依靠的 → 可靠的。	考研英语一::词汇
否定前缀 in- 的语音同化：接 b/m/p → ____；接 l → ____；接 r → ____。	im- / il- / ir-	impossible、impartial；illegal；irregular、irreversible。	考研英语一::词汇
词根 spect/spic 表「____」；词根 ced/cess 表「____」。	看 / 走、让	perspective（看穿→视角）、conspicuous（显眼的）；proceed（向前走）、concede（让一步→承认）。	考研英语一::词汇
在词根词缀记忆法中，单词 reconcile 的前缀 re- 表“再次/回”，con- 表“共同”，词根 cile 表“呼唤”。结合词源逻辑，该词最核心的中文释义是使____、调和。（填两字词语）	和解	re(回/再) + con(共同) + cile(呼唤) -> 把大家再次呼唤到一起 -> 使和解，调和。	考研英语一::词汇
