#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
OSI参考模型中，负责数据格式转换和加密解密的是：	A. 会话层<br>B. 表示层<br>C. 应用层<br>D. 传输层	B	表示层（Presentation Layer）负责：①数据格式转换（如ASCII↔EBCDIC）；②数据加密/解密；③数据压缩/解压缩。会话层管理会话，应用层提供用户接口，传输层提供端到端可靠传输。	考研408::计算机网络
电路交换在数据传输前需要建立连接，因此它是面向连接的通信方式。（对/错？）	A. 正确<br>B. 错误	A	正确。电路交换分为三个阶段：建立连接→传输数据→释放连接。通信前需要建立专用的物理通路，传输期间独占该通路。分组交换则是存储转发方式，不需要建立专用通路。	考研408::计算机网络
奈奎斯特定理和香农定理分别限制的是什么？	A. 奈奎斯特限制带宽，香农限制噪声<br>B. 奈奎斯特给出无噪声信道的最大码元速率，香农给出有噪声信道的最大数据传输速率<br>C. 两者限制的都是数据传输速率<br>D. 奈奎斯特适用于模拟信号，香农适用于数字信号	B	奈奎斯特定理（无噪声）：最大码元传输速率=2W Baud（W为带宽）。香农定理（有噪声）：最大数据传输速率=W·log₂(1+S/N)。前者限制码元速率，后者限制信息传输速率，两者从不同角度限制信道容量。	考研408::计算机网络
以下编码方式中，具有自同步能力的是？	A. 不归零编码(NRZ)<br>B. 曼彻斯特编码<br>C. 反向不归零编码(NRZI)<br>D. 双极性AMI编码	B	曼彻斯特编码在每个码元中间都有一次电平跳变，接收方可以从跳变中提取时钟信号，实现自同步（不需要额外的时钟线）。NRZ 在连续相同比特时电平不变，接收方无法判断码元边界；NRZI 在连续多个 1 时同样没有跳变；AMI 在连续多个 0 时没有跳变，都不能自同步。注意：RZ（归零编码）在每个码元中间也归零，同样具有自同步能力，因此不能作为本题的干扰项。	考研408::计算机网络
滑动窗口协议中，后退N帧(GBN)和选择重传(SR)的核心区别是：	A. GBN发送窗口更大<br>B. GBN收到NAK后重传所有未确认帧，SR只重传出错的帧<br>C. SR不能累积确认<br>D. GBN的接收窗口大于1	B	GBN：接收窗口=1，收到失序帧直接丢弃，要求发送方从出错帧开始全部重传。SR：接收窗口>1，缓存正确但失序的帧，只要求重传真正出错的帧。SR效率更高但实现更复杂。	考研408::计算机网络
CSMA/CD协议中，检测到冲突后立即停止发送并发送干扰信号。（对/错？）	A. 正确<br>B. 错误	A	正确。CSMA/CD（载波监听多路访问/冲突检测）的流程：发送时持续监听信道，一旦检测到冲突，立即停止发送当前帧，改发一段干扰信号（jam signal）确保所有站点都检测到冲突，然后执行截断二进制指数退避算法等待重传。	考研408::计算机网络
子网掩码的作用是：	A. 标识网络中的主机名<br>B. 区分IP地址中的网络号和主机号<br>C. 加密IP数据报<br>D. 分配MAC地址	B	子网掩码与IP地址做按位AND运算得到网络地址（网络号）。它标识了IP地址中哪些位是网络号（掩码中1对应的位），哪些位是主机号（掩码中0对应的位）。例如255.255.255.0表示前24位为网络号。	考研408::计算机网络
RIP和OSPF的核心区别是：	A. RIP是链路状态协议，OSPF是距离向量协议<br>B. RIP基于跳数，OSPF基于链路代价（带宽等）<br>C. RIP收敛更快<br>D. OSPF最大跳数为15	B	RIP是距离向量协议，以跳数为度量，最大15跳，收敛慢；OSPF是链路状态协议，以带宽等综合因素为代价，使用Dijkstra算法，收敛快。RIP适合小型网络，OSPF适合大型网络。	考研408::计算机网络
IP数据报分片后，每个分片都能独立到达目的主机，由目的主机负责重组。（对/错？）	A. 正确<br>B. 错误	A	正确。IP分片后各分片作为独立数据报传输，可能走不同路径、乱序到达。目的主机根据标识字段、片偏移和MF标志进行重组。注意：中间路由器可以继续分片，但一般不进行重组（减轻路由器负担）。	考研408::计算机网络
TCP三次握手的主要目的是：	A. 加密数据传输<br>B. 同步双方的初始序列号并确认通信能力<br>C. 分配IP地址<br>D. 建立路由表	B	三次握手：①客户端→SYN(seq=x)；②服务器→SYN+ACK(seq=y, ack=x+1)；③客户端→ACK(ack=y+1)。目的是双方确认对方的收发能力正常，并同步初始序列号(ISN)，为可靠传输做准备。	考研408::计算机网络
TCP拥塞控制中，慢开始和拥塞避免的分界点是：	A. 超时时刻<br>B. ssthresh（慢开始阈值）<br>C. 窗口大小为0时<br>D. 收到3个重复ACK时	B	当拥塞窗口cwnd < ssthresh时使用慢开始（指数增长）；cwnd ≥ ssthresh时使用拥塞避免（线性增长）。发生超时时ssthresh减半，cwnd重置为1重新开始慢开始。快重传在收到3个重复ACK时触发。	考研408::计算机网络
