#separator:Tab
#html:true
#columns:题干	答案	解析	标签
意识具有能动作用，集中表现为意识活动的目的性和计划性、创造性、指导实践改造客观世界、调控人的行为和生理活动。其中最能体现意识能动性的是意识对____的指导作用。	实践	意识的能动作用最突出的表现是意识对实践的指导作用——意识通过实践把观念的东西变成现实的东西。注意：意识本身不能直接改变世界，必须通过实践。	考研政治::马原
唯物辩证法认为，联系具有客观性、普遍性、多样性和条件性。其中，联系的条件性要求我们一切以时间、地点、____为转移。	条件	联系的条件性指一切事物的存在和发展都是有条件的，因而要一切以时间、地点、条件为转移。同时要反对形而上学孤立的观点。	考研政治::马原
实践标准的确定性（绝对性）指实践是检验真理的唯一标准，此外别无标准；实践标准的不确定性（相对性）指实践对认识的检验是一个____的过程。	过程	实践标准的确定性与不确定性是统一的。一定历史阶段的实践不能完全证实或驳倒一切认识，因此检验是一个过程，已被证实的真理仍需继续接受检验。	考研政治::马原
社会基本矛盾是生产力和生产关系的矛盾、经济基础和上层建筑的矛盾；其中，____是社会发展的最终决定力量。	生产力	生产力是社会发展的最终决定力量。注意区分：生产力是「最终决定力量」，社会基本矛盾是「社会发展的根本动力」，阶级斗争是「阶级社会发展的直接动力」，革命是「社会形态更替的决定性环节」。	考研政治::马原
资本主义的基本矛盾是生产社会化和生产资料资本主义私人占有之间的矛盾，这一矛盾在经济上集中表现为____。	经济危机	资本主义基本矛盾在阶级关系上表现为无产阶级和资产阶级的对立，在经济上集中表现为周期性爆发的经济危机。危机爆发的根源是生产相对过剩。	考研政治::马原
群众路线是党的根本工作路线，其基本内容是：一切为了群众，一切依靠群众，从群众中来，到____中去。	群众	群众路线 = 一切为了群众、一切依靠群众（根本立场）+ 从群众中来、到群众中去（根本工作方法）。群众路线是党的生命线和根本工作路线。	考研政治::毛中特
在对资本主义工商业的改造中，全行业公私合营后，国家向资本家支付的是____（年息5%），而不是「四马分肥」。	定息	1956年全行业公私合营前实行「四马分肥」（国家税收、企业公积金、职工福利费、资方红利）；全行业公私合营后改为**定息**，年息5%，原定7年，后延长至1966年9月停止。	考研政治::毛中特
「三个代表」重要思想的内容是：中国共产党必须始终代表中国先进生产力的发展要求，代表中国先进文化的前进方向，代表中国最广大____的根本利益。	人民	「三个代表」重要思想回答了「建设什么样的党、怎样建设党」的问题。其本质是立党为公、执政为民。	考研政治::毛中特
科学发展观同马克思列宁主义、毛泽东思想、邓小平理论、「三个代表」重要思想一道，是中国特色社会主义理论体系的重要组成部分，其最鲜明的精神实质是解放思想、实事求是、与时俱进、____。	求真务实	科学发展观最鲜明的精神实质是解放思想、实事求是、与时俱进、求真务实。它是发展中国特色社会主义必须长期坚持的指导思想。	考研政治::毛中特
1921年7月，中国共产党第一次全国代表大会在上海召开（后转移至浙江嘉兴南湖），大会确定党的名称为中国共产党，党的纲领是推翻资产阶级政权、建立无产阶级专政、消灭私有制，中心任务是领导____。	工人运动	中共一大确定党的中心任务是领导工人运动。1922年中共二大第一次明确提出了反帝反封建的民主革命纲领。	考研政治::史纲
1945年中共七大在延安召开，大会将____确立为党的指导思想并写入党章，这是七大最重要的历史性贡献。	毛泽东思想	中共七大确立了毛泽东思想为党的指导思想并写入党章，标志着党在思想上、政治上、组织上达到空前团结和统一，为抗日战争的最后胜利和新民主主义革命的胜利奠定了政治思想基础。	考研政治::史纲
1948年秋至1949年初，人民解放军先后发动辽沈、淮海、____三大战役，基本摧毁了国民党军的主力。	平津	三大战役：辽沈战役、淮海战役、平津战役，共歼灭和改编国民党军150多万人，国民党军主力基本被摧毁，为解放全中国奠定了基础。	考研政治::史纲
社会主义核心价值观分为三个层面：国家层面的价值目标是富强、民主、文明、和谐；社会层面的价值取向是____；个人层面的价值准则是爱国、敬业、诚信、友善。	自由、平等、公正、法治	社会主义核心价值观三个层面分别对应国家、社会、个人，是考研政治的高频考点。	考研政治::思修
正确的人生观要求我们坚持____、奉献社会的人生追求，这是社会主义道德的核心，也是评价人生价值的根本尺度。	服务人民	服务人民、奉献社会是社会主义道德的核心，也是崇高的人生追求。它回答了「人为什么活着」这一人生根本问题。	考研政治::思修
马克思主义是科学真理，是党和人民事业不断发展的参天大树之根本。坚定理想信念，最根本的是坚定对马克思主义的信仰、对中国特色社会主义的信念、对____的信心。	中华民族伟大复兴	「三个坚定」：坚定对马克思主义的信仰、对中国特色社会主义的信念、对实现中华民族伟大复兴中国梦的信心。	考研政治::思修
中华民族在五千多年历史发展中形成了伟大民族精神，其核心是____，此外还包括伟大创造精神、伟大奋斗精神、伟大团结精神、伟大梦想精神。	爱国主义	民族精神的核心是爱国主义，具体表现为伟大创造精神、伟大奋斗精神、伟大团结精神、伟大梦想精神。中国精神是兴国强国之魂。	考研政治::思修
社会主义核心价值观的基本内容是：富强、民主、文明、和谐；自由、平等、公正、法治；____、敬业、诚信、友善。	爱国	24字分三个层面：国家层面——富强、民主、文明、和谐；社会层面——自由、平等、公正、法治；个人层面——爱国、敬业、诚信、友善。	考研政治::思修
社会公德的主要内容包括文明礼貌、助人为乐、爱护公物、保护环境、遵纪守法；职业道德的主要内容是爱岗敬业、诚实守信、办事公道、服务群众、____。	奉献社会	职业道德五项：爱岗敬业、诚实守信、办事公道、服务群众、奉献社会。注意与社会公德五项区分，两者常被混淆。	考研政治::思修
坚持依法治国首先要坚持依宪治国，坚持依法执政首先要坚持依宪执政，因此必须树立和维护____权威。	宪法	宪法权威是法治权威的最高体现。维护宪法权威，就是维护党和人民共同意志的权威。	考研政治::思修
习近平新时代中国特色社会主义思想的世界观和方法论集中体现为「六个必须坚持」：必须坚持人民至上、必须坚持自信自立、必须坚持守正创新、必须坚持问题导向、必须坚持系统观念、必须坚持____。	胸怀天下	「六个必须坚持」是习近平新时代中国特色社会主义思想的世界观和方法论的集中体现，是继续推进理论创新的科学方法。	考研政治::习思想
中国式现代化是中国共产党领导的社会主义现代化，既有各国现代化的共同特征，更有基于自己国情的中国特色。其根本性质是____。	社会主义	中国式现代化是社会主义的现代化，而不是资本主义的现代化，这是其根本性质。党的领导直接关系中国式现代化的根本方向、前途命运、最终成败。	考研政治::习思想
中国共产党是最高政治领导力量，党的领导必须是全面的、系统的、整体的；在国家治理体系中，党是领导一切的，因此必须坚持党____、协调各方。	总揽全局	「总揽全局、协调各方」是党的领导的基本原则。坚持党的全面领导，要不断提高党科学执政、民主执政、依法执政水平。	考研政治::习思想
全面深化改革必须坚持的正确方向是____，这是改革的政治方向和根本保证，不能改旗易帜、改弦更张。	中国特色社会主义	改革是有方向、有立场、有原则的，必须坚持中国特色社会主义道路，既不走封闭僵化的老路，也不走改旗易帜的邪路。	考研政治::习思想
全面推进乡村振兴，坚持农业农村优先发展，全方位夯实粮食安全根基，牢牢守住____亩耕地红线。	18亿	牢牢守住18亿亩耕地红线，把中国人的饭碗牢牢端在自己手中。乡村振兴的总要求是产业兴旺、生态宜居、乡风文明、治理有效、生活富裕。	考研政治::习思想
