#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
互斥事件和对立事件的关系是：	A. 互斥就是对立<br>B. 对立一定互斥，互斥不一定对立<br>C. 互斥一定对立，对立不一定互斥<br>D. 两者无关	B	对立事件（A和Ā）：A∩B=∅且A∪B=Ω（互斥且完备）。互斥事件：A∩B=∅（不能同时发生）。对立一定互斥，但互斥不一定对立（互斥只要求不同时发生，不要求一定有一个发生）。	考研数学一::概率论与数理统计
若事件A和B独立，则P(AB)=P(A)P(B)。（对/错？）	A. 正确<br>B. 错误	A	正确。这是事件独立的定义。等价的表述：P(A|B)=P(A)，即B的发生不影响A的概率。独立与互斥是不同的概念：独立描述的是概率关系，互斥描述的是事件关系。A、B互斥且P(A)>0、P(B)>0时，A、B一定不独立。	考研数学一::概率论与数理统计
全概率公式和贝叶斯公式分别解决什么问题？	A. 全概率求条件概率，贝叶斯求边缘概率<br>B. 全概率由因推果（原因→结果），贝叶斯由果推因（结果→原因）<br>C. 两者解决相同的问题<br>D. 全概率用于离散变量，贝叶斯用于连续变量	B	全概率公式：P(B)=∑P(Aᵢ)P(B|Aᵢ)，由各种原因的概率推出结果的概率（由因推果）。贝叶斯公式：P(Aᵢ|B)=P(Aᵢ)P(B|Aᵢ)/P(B)，由已观察到的结果反推原因的概率（由果推因/后验概率）。	考研数学一::概率论与数理统计
一批 N 件产品中有 m 件一等品，不放回地先后取两件。若第一次已取到一等品，第二次取到一等品的概率是？	A. m/N：仍用箱内的初始占比<br>B. (m−1)/(N−1)：分子分母同时减 1<br>C. (m−1)/N：只把分子减 1<br>D. m/(N−1)：只把分母减 1	B	第二次抽取的完整条件是 B | C_i A，含两层信息：「不放回」与「第一次已取到一等品」，故箱内一等品剩 m−1 件、总数剩 N−1 件，P = (m−1)/(N−1)。分层（选箱）题的权重还要换成后验 P(C_i | A)。口诀「见不放回，分子分母同减 1」。	考研数学一::概率论与数理统计
一批产品中 10% 是次品；检验把正品判为正品的概率为 98%，把次品判为正品的概率为 5%（漏检率）。任取一件能通过验收的概率是？	A. 0.005（只算抽到次品且被漏检的那一支）<br>B. 0.882（漏掉次品那一支，只算 0.9×0.98）<br>C. 0.887（0.9×0.98 + 0.1×0.05，次品支取漏检率本身）<br>D. 0.977（次品支误取漏检率的补集 95%）	C	抽到次品时能通过验收 ⇔ 判定结果为「正品」，恰是**漏检事件本身**（5%），其补 95% 是「被正确拒收」。故 P(通过) = 0.9×0.98 + 0.1×0.05 = 0.882 + 0.005 = 0.887。条件概率直接写成带条件的数字 P(·|·)，不设无条件事件符号。	考研数学一::概率论与数理统计
已知三事件 A、B、C 两两独立，则下列结论正确的是？	A. P(ABC) = P(A)P(B)P(C) 一定成立，可直接连乘<br>B. 只能两两连乘；P(ABC) = P(A)P(B)P(C) 未必成立<br>C. P(A∪B∪C) 可用 1 − P(Ā)P(B̄)P(C̄) 直接计算<br>D. A、B、C 三个事件一定相互独立，可放心连乘	B	两两独立 ≠ 相互独立（事件数 ≥ 3 时两者不等价）。反例：抛两枚硬币，A = 第一枚正面、B = 第二枚正面、C = 两枚相同，三者两两独立，但 P(ABC) = 1/4 ≠ 1/8 = P(A)P(B)P(C)。动笔连乘前先圈出题面写的是「两两独立」还是「相互独立」。	考研数学一::概率论与数理统计
若事件 A、B、C 两两独立，则必有 P(ABC) = P(A)P(B)P(C)。（对/错？）	A. 正确<br>B. 错误	B	错误。两两独立 ≠ 相互独立（事件数 ≥ 3 时不等价）。反例：抛两枚硬币，A=第一枚正面、B=第二枚正面、C=两枚相同，三者两两独立但 P(ABC) = 1/4 ≠ 1/8。	考研数学一::概率论与数理统计
概率密度函数f(x)和分布函数F(x)的关系是：	A. f(x) = F(x)<br>B. f(x) = F'(x)，F(x) = ∫₋∞ˣ f(t)dt<br>C. F(x) = f'(x)<br>D. 两者没有关系	B	概率密度f(x)是分布函数F(x)的导数：f(x)=F'(x)；分布函数是概率密度的积分：F(x)=∫₋∞ˣf(t)dt。f(x)本身不是概率（可以>1），但f(x)dx表示X落在[x,x+dx]的概率。F(x)才是概率。	考研数学一::概率论与数理统计
连续型随机变量取某一个确定值的概率为0。（对/错？）	A. 正确<br>B. 错误	A	正确。P(X=a)=∫ₐᵃf(x)dx=0。连续型随机变量在任意单点的概率都是0。所以P(X≤a)=P(X<a)，P(a<X<b)=P(a≤X≤b)。注意：概率为0的事件不一定是不可能事件。	考研数学一::概率论与数理统计
关于期望E(X)和方差D(X)，以下哪个性质是正确的？	A. E(X²) = [E(X)]²<br>B. D(aX+b) = a²D(X)+b²<br>C. D(X) = E(X²) - [E(X)]²<br>D. E(X+Y) = E(X)·E(Y)	C	D(X)=E(X²)-[E(X)]²是方差的基本公式（也称为D(X)的展开式）。A错：E(X²)≥[E(X)]²（等号当且仅当X为常数）。B错：D(aX+b)=a²D(X)（常数b不影响方差）。D错：E(X+Y)=E(X)+E(Y)（加法不是乘法）。	考研数学一::概率论与数理统计
若X和Y独立，则D(X+Y)=D(X)+D(Y)。（对/错？）	A. 正确<br>B. 错误	A	正确。独立时D(X±Y)=D(X)+D(Y)（注意不是D(X)-D(Y)！方差永远非负）。更一般地，D(X+Y)=D(X)+D(Y)+2Cov(X,Y)，独立时Cov(X,Y)=0。注意：不相关(Cov=0)就可以使该公式成立，不一定要独立。	考研数学一::概率论与数理统计
X ~ N(0, σ²)，计算 Cov(X, X³) 时下列做法正确的是？	A. Cov(X, X³) = E(X⁴) = (EX²)² + 1 = σ⁴ + 1<br>B. Cov(X, X³) = ρ(X, X³)·√(DX·DX³) = 1·√(σ²·15σ⁶)<br>C. Cov(X, X³) = E(X⁴) = (EX²)² + D(X²) = 3σ⁴<br>D. Cov(X, X³) = 0，因为 X 与 X³ 关于原点对称	C	与「自己」的**协方差**等于方差：cov(U, U) = DU；等于 1 的是**相关系数** ρ(U, U)。D(X²) = E(X⁴) − (EX²)² = 3σ⁴ − σ⁴ = 2σ⁴（量纲是 X⁴，与无量纲的 1 不能相加），故 Cov(X, X³) = E(X·X³) − EX·EX³ = 3σ⁴ − 0 = 3σ⁴，ρ = 3σ⁴/√(σ²·15σ⁶) = 3/√15 ≈ 0.775。自检：|ρ| ≤ 1，算出 ρ > 1 必错。	考研数学一::概率论与数理统计
大数定律和中心极限定理的核心区别是：	A. 大数定律描述收敛到常数，中心极限定理描述标准化和的分布趋近正态<br>B. 大数定律要求独立，中心极限定理不要求<br>C. 两者描述的是同一件事<br>D. 大数定律只适用于离散变量	A	大数定律：样本均值X̄依概率收敛到总体均值μ（随机性消失，趋于常数）。中心极限定理：标准化后的样本和(∑Xᵢ-nμ)/(σ√n)依分布收敛到标准正态分布N(0,1)。前者说'趋向什么值'，后者说'怎样趋向'。	考研数学一::概率论与数理统计
