#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
哲学的基本问题是：	A. 物质和意识的关系问题<br>B. 辩证法和形而上学的关系问题<br>C. 唯物主义和唯心主义的关系问题<br>D. 可知论和不可知论的关系问题	A	哲学的基本问题是思维和存在（意识和物质）的关系问题，包括两方面：①何者为第一性（本体论）——区分唯物和唯心；②有无同一性（认识论）——区分可知论和不可知论。	考研政治::马原
唯物主义都承认世界是可知的。（对/错？）	A. 正确<br>B. 错误	B	错误。唯物主义承认物质第一性，但不一定承认可知论。大多数唯物主义者是可知论者，但哲学史上存在唯物主义的不可知论者。可知论/不可知论是哲学基本问题的第二方面，与唯物/唯心的划分不完全对应。	考研政治::马原
物质的唯一特性是：	A. 运动<br>B. 客观实在性<br>C. 可知性<br>D. 矛盾	B	列宁指出物质是标志客观实在的哲学范畴，「客观实在性」是物质的唯一特性。运动是物质的根本属性和存在方式，不是「唯一特性」；矛盾是事物发展的动力。	考研政治::马原
运动是绝对的、无条件的，静止是相对的、有条件的；静止是运动的特殊状态。（对/错？）	A. 正确<br>B. 错误	A	正确。物质世界是绝对运动和相对静止的统一。静止是物质运动在一定条件下的稳定状态，是运动的特殊状态。否认运动是形而上学不变论，否认静止是相对主义和诡辩论。	考研政治::马原
关于意识的本质，下列说法正确的是：	A. 意识是人脑的分泌物<br>B. 意识是客观世界的主观映象<br>C. 意识是主观自生的<br>D. 意识的内容是主观的、形式是客观的	B	意识是客观世界的主观映象：内容是客观的（来自客观世界），形式是主观的（感觉、概念等）。「人脑的分泌物」是庸俗唯物主义的错误；「主观自生」是唯心主义；D 项把内容与形式的关系说反了。	考研政治::马原
矛盾的普遍性和特殊性的关系是：	A. 整体和部分的关系<br>B. 共性和个性、一般和个别的关系<br>C. 多数和少数的关系<br>D. 主要和次要的关系	B	矛盾的普遍性（共性）和特殊性（个性）的关系不是整体与部分的关系，而是共性与个性、一般与个别的关系。共性寓于个性之中，个性包含共性。这是马克思主义普遍真理与中国具体实际相结合的哲学基础。	考研政治::马原
量变和质变的根本区别在于：	A. 变化的速度不同<br>B. 事物的性质是否发生根本改变<br>C. 变化的范围不同<br>D. 是否有外部因素参与	B	量变是在度的范围内的数量增减和场所变更，不改变事物的根本性质；质变是事物由一种质态向另一种质态的飞跃，是根本性质的变化。区分二者的标志是看变化是否超出度的范围。	考研政治::马原
唯物辩证法的实质和核心是：	A. 质量互变规律<br>B. 否定之否定规律<br>C. 对立统一规律<br>D. 联系和发展的观点	C	对立统一规律是唯物辩证法的实质和核心：它揭示了事物发展的动力和源泉，是贯穿其他规律和范畴的中心线索，矛盾分析法是最根本的认识方法。	考研政治::马原
矛盾的同一性和斗争性的关系是：	A. 同一性是绝对的，斗争性是相对的<br>B. 同一性和斗争性都是相对的<br>C. 斗争性是绝对的，同一性是相对的<br>D. 二者都是绝对的	C	矛盾的同一性是有条件的、相对的；斗争性是无条件的、绝对的。二者相互联结：同一性不能脱离斗争性，斗争性寓于同一性之中。A 项把绝对与相对说反了。	考研政治::马原
「主要矛盾」和「矛盾的主要方面」的区别在于：	A. 前者用于判断事物性质，后者用于确定工作重点<br>B. 前者用于确定工作重点，后者用于判断事物性质<br>C. 二者含义完全相同，只是表述不同<br>D. 前者是唯物论问题，后者是辩证法问题	B	主要矛盾决定工作中心和重点（抓关键、抓重点）；矛盾的主要方面决定事物的性质（抓主流、看本质）。方法论上：「两点论与重点论统一」。A 项正好说反。	考研政治::马原
量变是质变的必要准备，质变是量变的必然结果；质变不仅体现和巩固量变的成果，而且为新的量变开辟道路。（对/错？）	A. 正确<br>B. 错误	A	正确。这是质量互变规律的基本内容。注意：量变达到一定程度必然引起质变，但质变本身也是由量变引起的；否认质变是庸俗进化论，否认量变是激变论。	考研政治::马原
辩证否定的实质是：	A. 全盘否定<br>B. 扬弃，即既克服又保留<br>C. 全盘肯定<br>D. 简单的抛弃	B	辩证否定的实质是「扬弃」——既克服旧事物中过时的东西，又保留其积极因素。否定之否定规律揭示事物发展是前进性与曲折性的统一（螺旋式上升、波浪式前进）。	考研政治::马原
实践是检验真理的唯一标准，这是因为：	A. 实践具有直接现实性的品格<br>B. 实践是认识的来源<br>C. 实践是认识发展的动力<br>D. 实践是认识的目的	A	实践之所以能成为检验真理的唯一标准，是由真理的本性和实践的特点决定的。实践具有直接现实性——能把主观认识变为客观现实，从而检验认识是否与客观实际相符合。其他三项虽正确但不是'唯一标准'的原因。	考研政治::马原
真理的相对性意味着真理是主观的、因人而异的。（对/错？）	A. 正确<br>B. 错误	B	错误。真理的相对性是指真理的有条件性和有限性——任何真理都是对客观世界某一阶段、某一方面、某一层次的正确认识，有待扩展和深化。真理的内容是客观的，不因主体不同而改变。相对性不等于主观性。	考研政治::马原
实践是认识的基础，具体表现在：	A. 实践是认识的来源、动力、目的和检验真理性的唯一标准<br>B. 实践是认识的唯一来源，排斥间接经验<br>C. 实践决定认识，认识对实践没有反作用<br>D. 实践和认识是相互决定的	A	实践对认识起决定作用，表现为四个方面：来源、动力、目的、检验标准。B 错在「唯一来源」的表述会排斥间接经验（间接经验归根到底也来自实践）；C 否认了认识的反作用；D 是二元论。	考研政治::马原
实践是检验真理的唯一标准，这是由：	A. 实践的社会历史性决定的<br>B. 真理的本性和实践的特点决定的<br>C. 认识的能动性决定的<br>D. 客观事物的规律性决定的	B	真理是主观与客观相符合，这要求检验标准必须能把主观和客观联系起来；实践是主观见之于客观的物质活动，具有直接现实性，因而能充当检验标准。二者缺一不可。	考研政治::马原
感性认识和理性认识的关系是：	A. 理性认识依赖于感性认识，感性认识有待于发展为理性认识<br>B. 感性认识依赖于理性认识，理性认识有待于发展为感性认识<br>C. 二者是两种相互独立的认知能力<br>D. 感性认识是可靠的，理性认识是不可靠的	A	理性认识依赖感性认识（认识论中的唯物论），感性认识有待于发展为理性认识（认识论中的辩证法），二者相互渗透，统一的基础是实践。只承认前者是经验论，只承认后者是唯理论。	考研政治::马原
认识过程的第一次飞跃是从感性认识到理性认识，第二次飞跃是从理性认识到实践；第二次飞跃比第一次飞跃更重要。（对/错？）	A. 正确<br>B. 错误	A	正确。第二次飞跃更重要，因为理性认识本身不能改变世界，只有回到实践才能实现认识的目的并接受检验。第一次飞跃的条件是占有丰富真实的感性材料并进行科学加工。	考研政治::马原
真理是客观的，因此真理的内容和形式都是客观的。（对/错？）	A. 正确<br>B. 错误	B	错误。真理的内容是客观的（来自客观事物及其规律），但真理的形式是主观的（通过概念、判断、推理等主观形式表达）。真理的客观性指内容客观，不是形式和内容都客观。	考研政治::马原
真理的绝对性和相对性的关系是：	A. 绝对真理和相对真理是两种不同的真理<br>B. 任何真理都是绝对性和相对性的统一<br>C. 相对真理中不包含绝对真理的成分<br>D. 绝对真理是无数相对真理的总和	B	真理的绝对性指真理的无条件性、无限性；相对性指有条件性、有限性。任何真理都是二者的统一。相对真理中包含绝对真理的颗粒，绝对真理通过相对真理表现出来。D 项表述不准确（绝对真理不是简单「总和」）。	考研政治::马原
社会存在与社会意识的关系是：	A. 社会存在决定社会意识，社会意识具有相对独立性<br>B. 社会意识决定社会存在<br>C. 二者相互决定<br>D. 社会意识总是落后于社会存在	A	社会存在决定社会意识，社会意识反作用于社会存在，且具有相对独立性。C 是二元论；D 错在「总是」——先进的社会意识可以超前于社会存在。	考研政治::马原
