#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
完形填空中，选择最佳答案的第一步应该是：	A. 看四个选项的区别<br>B. 通读全文了解大意<br>C. 直接根据语法选择<br>D. 从第一个空开始逐个填	B	完形填空的正确做题步骤：①先通读全文（跳过空格），把握文章主旨和逻辑脉络；②再逐空分析，结合上下文语境选择；③最后通读检查。不看全文直接填空容易选错，因为很多空需要上下文线索。	考研英语一::完形填空
选出对下句主干（主语 + 主句谓语）判断正确的一项：The scientist who discovered the structure of DNA, together with his colleagues, was awarded the Nobel Prize.	A. 主语是 The scientist，主句谓语是 was awarded<br>B. 主语是 The scientist 和 his colleagues（并列主语），主句谓语是 was awarded<br>C. 主语是 the structure of DNA，主句谓语是 was awarded<br>D. 主语是 The scientist，主句谓语是 discovered	A	找主干＝找能独立成句的「谁做什么」：The scientist … was awarded the Nobel Prize。①who discovered the structure of DNA 是定语从句，修饰 The scientist，属于要剥掉的修饰成分；②together with his colleagues 是插入语，不作主语也不算并列，主语仍是单数 The scientist，所以谓语只能是 was，不能是 were；③discovered 是定语从句里的谓语，先出现的动词不一定是主句谓语（D 错）；④the structure of DNA 是从句的宾语，不能当主语（C 错）。	考研英语一::语法
在定语从句中，that既可以引导限制性定语从句，也可以引导非限制性定语从句。（对/错？）	A. 正确<br>B. 错误	B	错误。that只能引导限制性定语从句，不能引导非限制性定语从句（逗号后面不能用that）。非限制性定语从句用which/who/whom/whose等引导。这是考研英语语法的高频考点。	考研英语一::语法
主谓一致：Bread and butter ___ my favorite breakfast. 填 is 还是 are，判据是什么？	A. 只要句中出现了 and，谓语一律用复数<br>B. 只要句中出现了 and，谓语一律用单数<br>C. A and B 指两个独立个体时，谓语也用单数<br>D. A and B 指同一整体概念（同一人/同一物）时，谓语用单数	D	A and B 视为一个不可分割的复合概念时用单数谓语：Bread and butter is my favorite breakfast.（面包抹黄油＝一种食物）。第二项前重复冠词则表两个独立个体，用复数：The secretary and treasurer is coming.（同一人，无第二个 the）／ The secretary and the treasurer are coming.（两个人）。	考研英语一::语法
主谓一致：主语是分数或百分数时，谓语的单复数取决于什么？	A. of 后面的名词：不可数用单数，可数名词复数用复数<br>B. of 前面的分数本身：分母的大小决定单复数<br>C. 分数或百分数的分子：分子大于 1 就用复数谓语<br>D. 句子的时态：现在时用单数，过去时用复数谓语	A	分数/百分数作主语时，谓语单复数由 of 后的名词决定：Two thirds of the work is done.（work 不可数 → 单数）／ Two thirds of the students are present.（students 复数 → 复数）；50% of the water is polluted. ／ 50% of residents are satisfied.	考研英语一::语法
主谓一致：关于 a number of 与 the number of，下列判断正确的是？	A. a number of + 单数谓语；the number of + 复数谓语<br>B. 两者都接单数谓语，people 也按单数处理<br>C. 两者都接复数谓语，people 按复数处理<br>D. a number of + 复数谓语；the number of + 单数谓语	D	a number of = 许多（后接复数谓语）：A number of students are absent.；the number of = ……的数量（后接单数谓语）：The number of students is rising.。另外 people / police / cattle 永远作复数：The police are investigating.	考研英语一::语法
By the time I see you, I ___ my degree. 表达「到我见你时，我已经拿到学位了」，空白处应填？	A. will graduate<br>B. will have graduated<br>C. had graduated<br>D. would graduate	B	by + 时间点是完成时标志词：主句要表达「到那时已经完成」，用将来完成时 will have graduated。同时注意从句：时间/条件状语从句用一般现在时表将来（主将从现），所以是 By the time I see you，不是 By the time I will see you。整体平移到过去则从句用一般过去、主句用过去完成：By the time I saw you, I had graduated.	考研英语一::语法
I lived here for ten years. 与 I have lived here for ten years. 的区别是？	A. 前者暗示现在已不住这里，后者暗示现在仍住着<br>B. 两者完全同义，只是英式与美式的用词差异<br>C. 前者是错的，for + 时间段只能配现在完成时<br>D. 前者暗示现在仍住这里，后者暗示现已搬走	A	动作在过去已封闭、与当下切断 → 一般过去时（I lived here for ten years. 现已不住）；过去开始、延续到当下 → 现在完成时（I have lived here for ten years. 大概率还住着）。for + 时间段本身没有方向，落点全由时态锚定。另注意 the last week（截止此刻的 7 天，配现在完成）与 last week（上一个自然周，配过去）的区别。	考研英语一::语法
had been 有四种面孔，下列哪种搭配才构成被动语态？	A. been + to + 地点（had been to Paris）<br>B. been + 形容词或名词（had been ill）<br>C. been + doing（had been waiting）<br>D. been + 及物动词过去分词（had been locked）	D	had been 本身不等于被动，关键看 been 后面接什么：been + 过去分词 → 被动（The door had been locked.）；been + 形容词/名词 → 系表结构，主动（He had been ill. / He had been a teacher.）；been + to + 地点 → 去过，主动（She had been to Paris.）；been + doing → 过去完成进行时，主动（They had been waiting.）。	考研英语一::语法
the assumption that economic growth will reduce inequality 与 the assumption that he made，两个 that 从句类型不同，判据是？	A. that 前的名词是否抽象：抽象名词 → 定语从句，具体名词 → 同位语从句<br>B. 从句成分是否齐全：齐全（不缺主宾）→ 同位语从句；缺宾语 → 定语从句<br>C. 从句谓语的时态：现在时 → 同位语从句；过去时 → 定语从句<br>D. that 能否省略：能省略 → 同位语从句；不能省略 → 定语从句	B	两者都是「名词 + that + 句子」，唯一可靠判据是从句本身是否完整：that 在定语从句中必须充当成分（the assumption that he made 缺宾语 → 定语从句）；在同位语从句中不充当成分、只起连接作用（economic growth will reduce inequality 主谓宾齐全 → 同位语从句）。同位语从句的 that 不可省略，且常跟在 fact / assumption / belief / notion / evidence / idea 等抽象名词后。	考研英语一::语法
下列哪种情况只能用 whether、不能用 if？	A. 介词后作宾语从句时（It depends on whether he agrees.）<br>B. 口语中作动词的宾语从句时（I wonder if he is coming.）<br>C. 从句谓语是现在进行时时（I wonder if he is coming.）<br>D. 宾语从句表示「是否」且位于句中时（I wonder if…）	A	whether 更正式、更通用，以下四种情况只能用 whether：① 介词后（It depends on whether he agrees.）；② 不定式前（whether to stay）；③ 与 or not 直接连用（whether or not he agrees）；④ 句首主语从句（Whether he will come is uncertain.）。if 口语化，不可用于介词后、不可与 or not 直接连用。	考研英语一::语法
